no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
1,1,4,201,laos-1,0.0442516576368473,1,0.8129615783691406,1073741824,35470871,2586248574,0,0,0,12500000,0.8572132360059879,1,1748227406,2025-05-26 09:43:26
2,1,4,202,laos-2,0.0452136501941701,1,0.8620796203613281,1073741824,35880632,2588288545,0,0,0,12500000,0.9072932705554982,2,1748227406,2025-05-26 09:43:26
3,1,4,203,laos-3,0.0432896650795246,1,0.8671340942382812,1073741824,34341236,2570114993,0,0,0,12500000,0.9104237593178058,3,1748227406,2025-05-26 09:43:26
4,1,4,204,laos-4,0.0423276725222018,1,0.868804931640625,1073741824,35752501,2560570767,0,0,0,12500000,0.9111326041628268,4,1748227406,2025-05-26 09:43:26
5,2,4,202,laos-2,0.0452136501941701,1,0.8620796203613281,1073741824,35880632,2588288545,0,0,0,12500000,0.9072932705554982,2,1748227407,2025-05-26 09:43:27
6,2,4,203,laos-3,0.0432896650795246,1,0.8671340942382812,1073741824,34341236,2570114993,0,0,0,12500000,0.9104237593178058,3,1748227407,2025-05-26 09:43:27
7,2,4,204,laos-4,0.0423276725222018,1,0.868804931640625,1073741824,35752501,2560570767,0,0,0,12500000,0.9111326041628268,4,1748227407,2025-05-26 09:43:27
8,2,4,201,laos-1,0.0442516576368473,1,0.8129615783691406,1073741824,35470871,2586248574,0,0,0,12500000,0.8572132360059879,1,1748227407,2025-05-26 09:43:27
9,3,4,201,laos-1,0.0442516576368473,1,0.8129615783691406,1073741824,35470871,2586248574,0,0,0,12500000,0.8572132360059879,1,1748227408,2025-05-26 09:43:28
10,3,4,202,laos-2,0.0452136501941701,1,0.8620796203613281,1073741824,35880632,2588288545,0,0,0,12500000,0.9072932705554982,2,1748227408,2025-05-26 09:43:28
11,3,4,203,laos-3,0.0432896650795246,1,0.8671340942382812,1073741824,34341236,2570114993,0,0,0,12500000,0.9104237593178058,3,1748227408,2025-05-26 09:43:28
12,3,4,204,laos-4,0.0423276725222018,1,0.868804931640625,1073741824,35752501,2560570767,0,0,0,12500000,0.9111326041628268,4,1748227408,2025-05-26 09:43:28
