no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
1,1,0,201,laos-1,0.0442256062196513,1,0.8129615783691406,1073741824,35455676,2585242240,0,0,0,12500000,0.857187184588792,1,1748227359,2025-05-26 09:42:39
2,1,0,202,laos-2,0.043264179997485,1,0.8620796203613281,1073741824,35865359,2587263861,0,0,0,12500000,0.9053438003588131,2,1748227359,2025-05-26 09:42:39
3,1,0,203,laos-3,0.0442256062196513,1,0.8671340942382812,1073741824,34326113,2569092057,0,0,0,12500000,0.9113597004579326,4,1748227359,2025-05-26 09:42:39
4,1,0,204,laos-4,0.0413413275531523,1,0.868804931640625,1073741824,35737754,2559604719,0,0,0,12500000,0.9101462591937773,3,1748227359,2025-05-26 09:42:39
5,2,1,201,laos-1,0.0442256062196513,1,0.8129615783691406,1073741824,35455676,2585242240,0,0,0,12500000,0.857187184588792,1,1748227360,2025-05-26 09:42:40
6,2,1,202,laos-2,0.043264179997485,1,0.8620796203613281,1073741824,35865359,2587263861,0,0,0,12500000,0.9053438003588131,2,1748227360,2025-05-26 09:42:40
7,2,1,203,laos-3,0.0442256062196513,1,0.8671340942382812,1073741824,34326113,2569092057,0,0,0,12500000,0.9113597004579326,4,1748227360,2025-05-26 09:42:40
8,2,1,204,laos-4,0.0413413275531523,1,0.868804931640625,1073741824,35737754,2559604719,0,0,0,12500000,0.9101462591937773,3,1748227360,2025-05-26 09:42:40
9,3,1,204,laos-4,0.0413413275531523,1,0.868804931640625,1073741824,35737754,2559604719,0,0,0,12500000,0.9101462591937773,3,1748227361,2025-05-26 09:42:41
10,3,1,201,laos-1,0.0442256062196513,1,0.8129615783691406,1073741824,35455676,2585242240,0,0,0,12500000,0.857187184588792,1,1748227361,2025-05-26 09:42:41
11,3,1,202,laos-2,0.043264179997485,1,0.8620796203613281,1073741824,35865359,2587263861,0,0,0,12500000,0.9053438003588131,2,1748227361,2025-05-26 09:42:41
12,3,1,203,laos-3,0.0442256062196513,1,0.8671340942382812,1073741824,34326113,2569092057,0,0,0,12500000,0.9113597004579326,4,1748227361,2025-05-26 09:42:41
13,4,1,203,laos-3,0.0442256062196513,1,0.8671340942382812,1073741824,34326113,2569092057,0,0,0,12500000,0.9113597004579326,4,1748227362,2025-05-26 09:42:42
14,4,1,204,laos-4,0.0413413275531523,1,0.868804931640625,1073741824,35737754,2559604719,0,0,0,12500000,0.9101462591937773,3,1748227362,2025-05-26 09:42:42
15,4,1,201,laos-1,0.0442256062196513,1,0.8129615783691406,1073741824,35455676,2585242240,0,0,0,12500000,0.857187184588792,1,1748227362,2025-05-26 09:42:42
16,4,1,202,laos-2,0.043264179997485,1,0.8620796203613281,1073741824,35865359,2587263861,0,0,0,12500000,0.9053438003588131,2,1748227362,2025-05-26 09:42:42
