no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
1,1,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227282,2025-05-26 09:41:22
2,1,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227282,2025-05-26 09:41:22
3,1,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227282,2025-05-26 09:41:22
4,1,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227282,2025-05-26 09:41:22
5,2,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227283,2025-05-26 09:41:23
6,2,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227283,2025-05-26 09:41:23
7,2,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227283,2025-05-26 09:41:23
8,2,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227283,2025-05-26 09:41:23
9,3,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227284,2025-05-26 09:41:24
10,3,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227284,2025-05-26 09:41:24
11,3,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227284,2025-05-26 09:41:24
12,3,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227284,2025-05-26 09:41:24
13,4,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227285,2025-05-26 09:41:25
14,4,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227285,2025-05-26 09:41:25
15,4,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227285,2025-05-26 09:41:25
16,4,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227285,2025-05-26 09:41:25
17,5,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227286,2025-05-26 09:41:26
18,5,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227286,2025-05-26 09:41:26
19,5,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227286,2025-05-26 09:41:26
20,5,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227286,2025-05-26 09:41:26
21,6,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227287,2025-05-26 09:41:27
22,6,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227287,2025-05-26 09:41:27
23,6,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227287,2025-05-26 09:41:27
24,6,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227287,2025-05-26 09:41:27
25,7,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227288,2025-05-26 09:41:28
26,7,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227288,2025-05-26 09:41:28
27,7,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227288,2025-05-26 09:41:28
28,7,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227288,2025-05-26 09:41:28
29,8,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227289,2025-05-26 09:41:29
30,8,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227289,2025-05-26 09:41:29
31,8,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227289,2025-05-26 09:41:29
32,8,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227289,2025-05-26 09:41:29
33,9,0,202,laos-2,0.0442367886553073,1,0.8620796203613281,1073741824,35847589,2585883817,0,0,0,12500000,0.9063164090166355,2,1748227290,2025-05-26 09:41:30
34,9,0,203,laos-3,0.0461601272924945,1,0.8671340942382812,1073741824,34308043,2567705035,0,0,0,12500000,0.9132942215307758,3,1748227290,2025-05-26 09:41:30
35,9,0,204,laos-4,0.0451984579739009,1,0.868804931640625,1073741824,35719336,2558161263,0,0,0,12500000,0.9140033896145259,4,1748227290,2025-05-26 09:41:30
36,9,0,201,laos-1,0.0442367886553073,1,0.8129615783691406,1073741824,35437492,2583774282,0,0,0,12500000,0.857198367024448,1,1748227290,2025-05-26 09:41:30
